#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
神佛;shen2fo2;"NOUN

gods; religious idols";;hsk3
盛事;sheng4shi4;"NOUN

grand occasion; great event

M: ²jiàn / 件";;hsk3
神武;shen2wu3;"NOUN

, wr.

1 divine and mighty (usu. said of an emperor or a great general)

2 intelligent and courageous";;hsk3
是否;shi4-fou3;"FIXED EXPRESSION

whether or not; is it so or not 不知他是否來。 Bùzhī tā shì-fǒu lái. I don't know if he's coming.";;hsk4
梭;suo1;"NOUN

shuttle";;hsk3
談;tan2;"VERB

talk; chat 我們談了一個小時。 Wǒmen tánle yị̄ ge xiǎoshí. We talked for an hour.

<hr style='width: 30%'>

BOUND FORM

what is said in kōngtán , ¹qítán

<hr style='width: 30%'>

NOUN

Surname";谈;
途;tu2;"BOUND FORM

road; route; journey; way in lùtú See also ⁴tū ²tú";;hsk3
武;wu3;"BOUND FORM

1 military in wǔqì

2 martial; valiant in ²yīngwǔ

<hr style='width: 30%'>

NOUN

1 wr. footstep

2 Surname";;hsk3
物;wu4;"BOUND FORM

1 thing; matter in ¹wùjiàn , wùjià , wùlǐ

2 world vs. oneself in dàirénjiēwù";;hsk3
相傳;xiang1chuan2;"VERB

PHRASE

tradition has it that ...; according to legend/tradition

<hr style='width: 30%'>

VERB

hand down or pass on from one to another";相传;hsk7-9
笑柄;xiao4bing3;"NOUN

laughingstock; butt; joke 那句話成了大家的笑柄。 Nà jù huà chéngle dàjiā de xiàobǐng. That remark has become a joke for everyone.";;hsk3
行;"xing2; hang2";"xing2
STATIC VERB

1 alright; acceptable 這樣做行嗎? Zhèyàng zuò xíng ma? Is it alright to do it this way?

2 capable; competent 你真行。 Nǐ zhēn xíng. You are really competent.

<hr style='width: 30%'>

BOUND FORM

1 go; walk in zìxíngchē , ²bùxíng

2 travel in ¹lǚxíng

3 be current; prevail; circulate in ¹liúxíng

4 do; perform; carry out; engage in in ¹shíxíng

5 temporary; makeshift in xínggōng

6 wr. soon in xíngjiāng

7 behavior; conduct in xíngwéi

8 running script in ¹xíngshū See also ¹háng ³hàng heng

<hr style='width: 30%'><hr style='width: 30%'>

hang2
NOMINAL MEASURE WORD

row; column; line of print 每頁有二十五行。 Měi ⁴yè yǒu èrshíwǔ háng. There are twenty-five lines on a page.

<hr style='width: 30%'>

BOUND FORM

1 firm; shop; business in yínháng

2 line of business 你是幹哪一行的? Nǐ shì gàn nǎ yī̠ háng de? What's your line?

3 order of seniority in a family 我在我們家行二。 Wǒ zài wǒmen jiā háng èr. I'm second among my brothers and sisters.

4 expertise in a certain field in nèiháng , wàiháng See also ³hàng heng ¹xíng";;hsk3
行色;xing2se4;"NOUN

conditions/scene at departure";;hsk3
行色匆匆;xing2se4cong1cong1;"FIXED EXPRESSION

be in a hurry to set out (depart)";;hsk3
心懷;xin1huai2;"VERB

harbor; entertain; cherish

<hr style='width: 30%'>

NOUN

1 intention; purpose

2 state of mind; mood";心怀;
序;xu4;"NOUN

preface 請您給這本書寫篇序。 Qǐng nín gěi zhè běn shū xiě piān xù. Could you please write a preface for this book?

<hr style='width: 30%'>

BOUND FORM

1 introductory; initial in ²xùmù

2 order; sequence in ¹cìxù , ¹zhìxù 按字母為序 àn zìmǔ wéi xù in alphabetical sequence

3 arrange in order in ¹xùcì

4 trad. village school in xiángxù";;hsk7-9
厭;yan4;"VERB

1 detest; loathe in ¹yànwù

2 be disgusted/bored with 每天做同樣的事, 我都厭了。 Měitiān zuò tóngyàng de ²shì, wǒ dōu yàn le. I'm bored with the same work everyday. in yànfán

3 be surfeited/satiated in tāndéwúyàn See also ¹¹yān";厌;
厭惡;yan4wu4;"VERB

detest; be disgusted with 我非常厭惡他的行為。 Wǒ fēicháng yànwù tā de xíngwéi. I'm disgusted at his behavior.";厌恶;
以及;yi3ji2;"CONJUNCTION

as well as; along with; and 請替我問候你的太太以及你的孩子。 Qǐng tì wǒ wènhòu nǐ de tàitai yǐjí nǐ de háizi. Please give my regards to your wife and children.";;hsk4
遊;you2;"VERB

swim; float 沒有船, 我只好游過河去。 Méiyǒu chuán, wǒ zhị̌hǎo yóu guò ²hé qù. There was no boat so I had to swim across the river.

<hr style='width: 30%'>

BOUND FORM

1 travel in lǚyóu

2 rove in yóuguàng

3 associate with

4 reaches of a river in ¹shàngyóu , ¹xiàyóu

<hr style='width: 30%'>

NOUN

Surname";游;
與;"yu3; yu4";"yu3
BOUND FORM

1 give; offer in zèngyǔ

2 commend; support; assist in yǔrénwéishàn

3 get along with in ³yìyǔ

4 wait

<hr style='width: 30%'>

COVERB

with; to

<hr style='width: 30%'>

CONJUNCTION

and; together with See also ¹⁹yú ¹⁰yù

<hr style='width: 30%'><hr style='width: 30%'>

yu4
BOUND FORM

participate in cānyù , yùhuì , ¹yùzhèng See also ¹⁹yú ¹yǔ ⁹yù";与;hsk6
遭;zao1;"VERB

encounter

<hr style='width: 30%'>

NOMINAL MEASURE WORD

1 (for times/turns) 饒了他這一遭吧。 Ráole tā zhè yī̠ zāo ba. Let him go this time.

2 round";;hsk3
造化;zao4hua4;"NOUN

1 Heaven

2 Mother Nature See also zàohua";;hsk3
之;zhi1;"wr

<hr style='width: 30%'>

CONSTRUCTION

1 A ∼ B in a B relationship to A
	a 三天之內 sān tiān zhīnèi within three days
	b 回家之前 huíjiā zhī qián before returning home
	c 鐘鼓之聲 zhōnggǔ zhī shēng the sound of bells and drums

2 A ∼lèi/liú A and the like
	希特勒之流 Xītèlè zhīliú Hitler and his like

3 ... ∼ SV so SV that ... a 天氣之冷, 連屋子裡的水都結冰了。 Tiānqì zhī lěng, lián wūzi lǐ de shuǐ dōu jiébīng le. The weather was so cold that even the water in the room froze.
	b 得意之極 déyì zhījí be very pleased with oneself

<hr style='width: 30%'>

PRONOUN

(used only in object position) it; him; her; this
	諾之 nuò zhī promise it/her/him

<hr style='width: 30%'>

VERB

go; leave
	不知所之 bù zhī suǒ zhī don't know where (he) went

<hr style='width: 30%'>

BOUND FORM

this
	之子 Zhī zǐ this person";;hsk7-9
珠寶;zhu1bao3;"NOUN

jewelry

M: ²jiàn / 件";珠宝;hsk6
墜落;zhui4luo4;"VERB

fall; drop 他的車從橋上墜落下去。 Tā de chē cóng qiáo shang zhuìluò xiàqu. His car dropped from the bridge.";坠落;
著名;zhu4ming2;"STATIC VERB

famous; celebrated 他是美國著名的作家。 Tā shì Měiguó zhùmíng de zuòjiā. He's a famous American writer.";;hsk4
資質;zi1zhi4;"NOUN

natural endowments; intelligence; talent";资质;
寂;ji4;"BOUND FORM

quiet; lonely in ¹jìmò , ²chénjì";;hsk3
憐;lian2;"BOUND FORM

sympathy; pity in kělián , liánxī";怜;
叫;jiao4;"VERB

1 cry; shout

2 call; greet

3 hire; order

4 name; call 我叫張琳。 Wǒ jiào Zhāng Lín. My name is Lin Zhang.

5 cause; make a 風能叫船走。 Fēng néng jiào chuán zǒu. The wind can make the ship go. b 主任叫他去開會。 Zhǔrèn jiào tā qù kāihuì. The director wants him to go to the meeting.

<hr style='width: 30%'>

PREFIX

, topo. male (of certain farm animals) in jiàolǘ , jiàojī

<hr style='width: 30%'>

COVERB

by (in passive cons.) 我叫他打了。 Wǒ jiào tā dǎ le. I was beaten by him.";;hsk3
鼎鼎;ding3ding3;"REDUPLICATED FORM

grand";;hsk3
掀;xian1;"VERB

1 lift (a cover/etc.)

2 surge; cause to surge";;hsk7-9
蓋頭;gai4tou5;"NOUN

1 red bridal veil

2 veil

M: ge / dǐng / 個 / 頂";盖头;
扶搖;fu2yao2;"NOUN

, wr. cyclone; twister";扶摇;
落腳點;luo4jiao3dian3;"NOUN

stopover";落脚点;
君;jun1;"wr.  

<hr style='width: 30%'>

NOUN

1 monarch; sovereign; supreme ruler

2 gentleman; sir";;hsk3
詭;gui3;"BOUND FORM

1 deceitful; tricky; cunning in ²guǐjì

2 weird; eerie in guǐyì";诡;
新郎;xin1lang2;"NOUN

bridegroom

M: ge / míng / ²wèi / 個 / 名 / 位";;hsk4
自願;zi4yuan4;"ADVERB

voluntarily or of one's own accord 他自願加入救援隊。 Tā zìyuàn jiārù jiùyuán ²duì. He voluntarily joined the rescue team.";自愿;hsk5
確認;que4ren4;"VERB

affirm; confirm; identify with certainty 他的身分得到確認。 Tā de shēnfen dédào quèrèn. His identity was confirmed.";确认;hsk4
正道;zheng4dao5;"STATIC VERB

, coll. bonafide; genuine; possessing acceptable credentials

<hr style='width: 30%'>

NOUN

, Budd. the right/straight path See also ¹zhèngdào";;hsk3
滾;gun3;"VERB

1 (slang) get away; beat it

2 roll; beat it 滾出去! Gǔn chūqu! Scram!

3 topo. boil 餃子再滾幾分鐘就好了。 Jiǎozi ²zài gǔn jǐ fēnzhōng jiù hǎo le. Let the dumplings boil for a few more minutes and then they'll be ready.

4 bind; trim";滚;hsk5
翻;fan1;"VERB

1 turn over 請把書翻到第五頁。 Qị̌ng bǎ shū fān dào dì-wǔ yè. Please turn to page five.

2 cross; get over

3 rummage; search

4 read/leaf through, browse (papers/documents)

5 translate

6 reverse

7 multiply

8 coll. fall out; break up 她跟男朋友翻了。 ²Tā gēn nánpéngyou fān le. She broke up with her boyfriend.";;hsk4
將軍;jiang1jun5;"NOUN

1 general

2 high-rank officer

M: ge / míng / ²wèi / 個 / 名 /
	位 See also jiāngjūn";将军;hsk6
風信;feng1xin4;"NOUN

1 scent/sound brought by the wind

2 news

3 wr. seasonal wind";风信;
魏;Wei4;"NOUN

1 name of several Ch. dynasties

2 Surname";;hsk3
羡;xian4;"BOUND FORM

envy; admire in xiànmù";;hsk3
機;ji1;"BOUND FORM

1 machine in jīqì

2 airplane in jīpiào

3 chance in ¹jīhuì

4 occasion in ¹shíjī

5 crucial point; key link in zhuǎnjī

6 organic in ¹yǒujī";机;
忘機;wang4ji1;"VERB

PHRASE

, wr.

1 carefree

2 at peace with the world";忘机;
經典;jing1dian3;"NOUN

1 classics 紅樓夢是經典小說。 Hónglóu Mèng shì jīngdiǎn xiǎoshuō. The Dream of the Red Chamber is a classic novel.

2 scriptures

3 text

<hr style='width: 30%'>

ATTRIBUTIVE

classical";经典;hsk4
情節;qing2jie2;"NOUN

1 plot; story; synopsis 這部電影情節複雜。 Zhè ²bù diànyǐng qíngjié fùzá. This film has a complicated plot.

2 details; circumstances

3 lg. situation";情节;hsk5
還原;huan2yuan2;"VERB

OBJECT CONSTRUCTION

return to the original condition/shape; restore

<hr style='width: 30%'>

NOUN

1 chem. reduction

2 math. inverse operation

<hr style='width: 30%'>

ATTRIBUTIVE

, lg. recursive";还原;hsk7-9
世;shi4;"BOUND FORM

1 generation in ²yīshì

2 life; lifetime

3 age; era; epoch in ³jìnshì

4 world in ¹shìjiè

<hr style='width: 30%'>

NOUN

Surname";;hsk3
受;shou4;"VERB

1 receive; accept

2 endure; suffer; be subjected to

3 topo. be pleasant
	受聽 Shòutīng pleasant to listen to";;hsk3
唾罵;tuo4ma4;"VERB

spit on and curse; revile 人們唾罵政府的腐敗。 Rénmen tuòmà zhèngfǔ de fǔbài. People revile the corruption of the government.";唾骂;
夷;yi2;"BOUND FORM

1 wr. level; smooth in yíwéipíngdì

2 safe and sound in huàxiǎnwéiyí

3 calm; contented

4 raze

5 exterminate in yímiè

6 hist. “barbarian” tribes, esp. in the east in yídí

7 trad. foreign country; foreigner in ³yíqíng";;hsk3
陵;ling2;"BOUND FORM

1 hill; mound in qiūlíng

2 imperial tomb; mausoleum in língmù";;hsk3
老祖;lao3zu3;"NOUN

ancestor; forefathers

M: ²wèi / 位";;hsk3
澄;cheng2;"BOUND FORM

clear; transparent in chéngqīng See also ³dèng";;hsk3
義;yi4;"BOUND FORM

1 justice; righteousness in ¹zhèngyì

2 chivalry; sense of honor in yìqi

3 meaning; significance in ¹yìyì , ³zìyì

4 human ties; relationship in ³qíngyì

5 adopted; adoptive in yìzǐ , yìnǚ

6 artificial; false in yìchǐ

7 volunteer in ¹yìwù";义;
滅;mie4;"VERB

1 extinguish; exterminate; put/go out

2 (slang) defeat; beat";灭;hsk6
親;qin1;"BOUND FORM

1 relatives in qīnqi

2 parents in mǔqin

3 marriage in qīnshì

4 love very much; be very fond of in qīn'ài de

5 personal in qīnzì

<hr style='width: 30%'>

VERB

kiss

<hr style='width: 30%'>

STATIC VERB

close; intimate; dear See also ³qìng";亲;
大義滅親;da4yi4mie4qin1;"FIXED EXPRESSION

uphold righteousness above one's family";大义灭亲;
巢;chao2;"NOUN

1 nest; lair

2 Surname";;hsk3
亂葬崗;luan4zang4gang3;"NOUN

unmarked common graves

M: ⁴zuò / 座";乱葬岗;
鍋;guo1;"NOUN

1 pot; wok; pan; boiler

2 bowl (of a pipe/etc.)

M: kǒu / 口";锅;hsk5
端;duan1;"BOUND FORM

1 end; extremity in liǎngduān

2 beginning in kāiduān

3 point in yīduān

4 reason in wúduān

5 proper in duānzhèng

<hr style='width: 30%'>

VERB

hold sth. level; carry 把你的意見都端出來。 Bạ̌ nǐ de yìjian dōu duān chūlai. Come out with all your thoughts (on the matter).";;hsk6
氏;shi4;"BOUND FORM

1 clan; family in ¹shìzú

2 family name; surname in ¹xìngshì

<hr style='width: 30%'>

SUFFIX

(used after surnames)

1 Mr./Mrs./Ms.
	李氏 Lǐshì Mr. Li/the Li family

2
	張氏兄弟 Zhāngshì xiōngdì the Zhang brothers form of address for a celebrity
	孫氏 Sūnshì Sun Yat-sen

3 school of thought
	老氏 Lǎoshì School of Laozi

4 née
	王李氏 Wáng Lǐ shì Mrs. Wang, née Li See also ¹⁸zhī";;hsk3
蘭;lan2;"NOUN

1 orchid

2 fragrance

3 moral excellence";兰;
蘇;Su1;"NOUN

1 short for Suzhou

2 short for Jiangsu province

3 short for the former Soviet Union

4 Surname

<hr style='width: 30%'>

BOUND FORM

revive in fùsū  char. in lūsu";苏;
姑;gu1;"NOUN

1 father's sister

2 husband's sister

3 wr. husband's mother

4 nun

<hr style='width: 30%'>

ADVERB

, wr. tentatively; for the time being";;hsk3
聶;Nie4;"NOUN

Surname";聂;
族;zu2;"NOUN

1 clan; race; tribe; group

2 trad. family death penalty

3 lg. family";;hsk6
陣;zhen4;"NOUN

1 battle array

2 position; front

3 a period of time

<hr style='width: 30%'>

VERB

. (for passing phases/spells)

<hr style='width: 30%'>

BOUND FORM

battle; fight in zhènwáng";阵;hsk4
修煉;xiu1lian4;"VERB

, rel. practice asceticism";修炼;
邪術;xie2shu4;"NOUN

sorcery; demonic magic";邪术;
反噬;fan3shi4;"VERB

, wr.

1 make false countercharge

2 accuse one's benefactor falsely";;hsk3
撕咬;si1yao3;"VERB

bait; worry; harass";;hsk3
蠶食;can2shi2;"VERB

nibble";蚕食;
活活;huo2huo2;"ADVERB

while still alive 他被活活打死。 Tā bèi huóhuó dạ̌sǐ. He was beaten to death.";;hsk3
被;"bei4; pi1";"bei4
BOUND FORM

1 quilt in miánbèi

2 cover in máojīnbèi

<hr style='width: 30%'>

COVERB

by 我被他嚇了一跳。 Wǒ bèi tā xiàle yị̄ tiào. He gave me a start.  AUX. (passive signifier)
	被選為模範工人 Bèi xuǎn wéi mófàn gōngrén be elected a model worker See also ⁹pī

<hr style='width: 30%'><hr style='width: 30%'>

pi1
char. in ¹pīfú See also ¹bèi";;hsk3
咬碎;yao3sui4;"R.VERB

bite into pieces";;hsk3
吾;wu2;"PRONOUN

, wr. (first person pronoun, usually nominative or genitive use) I; my; we; our";;hsk3
莫;mo4;"ADVERB

, wr. not; be/do not

<hr style='width: 30%'>

NOUN

Surname";;hsk3
玄;xuan2;"STATIC VERB

profound; abstruse

<hr style='width: 30%'>

BOUND FORM

1 black; dark in xuánqīng

2 coll. unreliable; incredible in xuánmiào";;hsk7-9
羽;yu3;"BOUND FORM

1 feather; plume in yǔmáo

2 wing in yǔchì

<hr style='width: 30%'>

NOUN

1 mus. fifth note of the pentatonic scale (wǔyīn)

2 lg. fifth class of initials in ancient phonology";;hsk3
慈;ci2;"BOUND FORM

compassionate; kind; loving in cí'ài

<hr style='width: 30%'>

NOUN

, wr. my mother";;hsk3
庶;shu4;"BOUND FORM

1 numerous; multitudinous in ²shùwù , ⁴fùshù

2 of a concubine in shùchū";;hsk3
庶出;shu4chu1;"VERB

be born of a concubine";;hsk3
家慈;jia1ci2;"NOUN

, humb. my mother";;hsk3
世家;shi4jia1;"NOUN

1 aristocratic family 他世家出身。 Tā shìjiā chūshēn. He comes from an aristocratic family.

2 family influential for generations";;hsk3
垂愛;chui2ai4;"VERB

provide tender care";垂爱;
誕;dan4;"BOUND FORM

1 birth in dànshēng

2 birthday in dànchén

3 absurd; fantastic in huāngdàn";诞;
碧;bi4;"BOUND FORM

bluish/emerald green; blue in bìlǜ

<hr style='width: 30%'>

NOUN

, wr. green jade; jasper";;hsk3
碧玉;bi4yu4;"NOUN

emerald; jasper

M: ²kuài / 塊";;hsk3
得;"de2; dei3; de5";"de2
VERB

1 get

2 result in

3 be fit/proper

4 be satisfied

5 be finished 得了, 別說了。 Déle, bié shuō le. OK! OK! That's enough. See also ³de děi

<hr style='width: 30%'><hr style='width: 30%'>

dei3
AUX. must

<hr style='width: 30%'>

VERB

, coll.

1 need 我得走了。 Wọ̌ dẹ̌i zǒu le. I must go.

2 should be See also ³de ¹dé

<hr style='width: 30%'><hr style='width: 30%'>

de5
INF. (used in r.v.)
	看得見 kàndejiàn able to see  S.P. (used to link a verb and the manner clause that follows it)
	說得快 shuō de kuài speak quickly
	大得拿不動 dà de nábudòng so big that it can't be moved  CMP. (potential complement) 他好了, 現在吃得了。 Tā hǎo le, xiànzài chīde le. He's well again and can eat now. See also ¹dé děi";;hsk4
然;ran2;"BOUND FORM

right; correct; so in bùyǐwéirán , suǒyǐrán

<hr style='width: 30%'>

CONJUNCTION

, wr. however; but

<hr style='width: 30%'>

SUFFIX

(marker for s.v./adv.) 安然 ānrán safe and sound; safely
	顯然 xiǎnrán obviously

<hr style='width: 30%'>

VERB

burn";;hsk3
